"Statistic Label","Month","State","UNIT","VALUE"
"Total Exports (Seasonally Adjusted)","1997 September","State","Euro Thousand","3977875"
"Total Exports (Seasonally Adjusted)","1997 October","State","Euro Thousand","3972382"
"Total Exports (Seasonally Adjusted)","1997 November","State","Euro Thousand","4105700"
"Total Exports (Seasonally Adjusted)","1997 December","State","Euro Thousand","4135800"
"Total Exports (Seasonally Adjusted)","1998 January","State","Euro Thousand","4292972"
"Total Exports (Seasonally Adjusted)","1998 February","State","Euro Thousand","4478174"
"Total Exports (Seasonally Adjusted)","1998 March","State","Euro Thousand","4664605"
"Total Exports (Seasonally Adjusted)","1998 April","State","Euro Thousand","4675662"
"Total Exports (Seasonally Adjusted)","1998 May","State","Euro Thousand","4615579"
"Total Exports (Seasonally Adjusted)","1998 June","State","Euro Thousand","4780656"
"Total Exports (Seasonally Adjusted)","1998 July","State","Euro Thousand","4938523"
"Total Exports (Seasonally Adjusted)","1998 August","State","Euro Thousand","4939220"
"Total Exports (Seasonally Adjusted)","1998 September","State","Euro Thousand","4893101"
"Total Exports (Seasonally Adjusted)","1998 October","State","Euro Thousand","4726221"
"Total Exports (Seasonally Adjusted)","1998 November","State","Euro Thousand","5483018"
"Total Exports (Seasonally Adjusted)","1998 December","State","Euro Thousand","4881343"
"Total Exports (Seasonally Adjusted)","1999 January","State","Euro Thousand","5024236"
"Total Exports (Seasonally Adjusted)","1999 February","State","Euro Thousand","5201736"
"Total Exports (Seasonally Adjusted)","1999 March","State","Euro Thousand","4865848"
"Total Exports (Seasonally Adjusted)","1999 April","State","Euro Thousand","5327289"
"Total Exports (Seasonally Adjusted)","1999 May","State","Euro Thousand","5569011"
"Total Exports (Seasonally Adjusted)","1999 June","State","Euro Thousand","5129135"
"Total Exports (Seasonally Adjusted)","1999 July","State","Euro Thousand","5820073"
"Total Exports (Seasonally Adjusted)","1999 August","State","Euro Thousand","5762862"
"Total Exports (Seasonally Adjusted)","1999 September","State","Euro Thousand","5915572"
"Total Exports (Seasonally Adjusted)","1999 October","State","Euro Thousand","5982885"
"Total Exports (Seasonally Adjusted)","1999 November","State","Euro Thousand","5920686"
"Total Exports (Seasonally Adjusted)","1999 December","State","Euro Thousand","6451654"
